WXSC_Name,NedName,ClusterID,ra,dec,z_cmb,TTye,AxRatio,logW,logW_err,L_dist,ftot_W1,ftot_W1_err,magW1,magW1_err,MW1,MW1_err,MW1_debiased,MW1_debiased_err,bias_W1,MW1_final,MW1_final_err,ftot_W2,ftot_W2_err,magW2,magW2_err,MW2,MW2_err,MW2_debiased,MW2_debiased_err,bias_W2,MW2_final,MW2_final_err
2MASXJ16313454+4033560,NGC6184,A2199/7,247.8939,40.5656,0.0277,Sa,0.7730,2.7460,0.0260,121.4300,18.2280,0.2050,10.7075,0.0124,-24.7141,0.0124,-24.7103,0.0124,-0.0038,-25.3968,0.0698,11.4230,0.1410,10.6036,0.0136,-24.8181,0.0136,-24.8095,0.0136,-0.0086,-25.6162,0.0818
2MASXJ16340087+3611269,UGC10450,A2199/7,248.5036,36.1910,0.0323,Sc,0.4060,2.5550,0.0120,142.0000,4.7040,0.0550,12.1581,0.0129,-23.6033,0.0129,-23.5084,0.0160,-0.0949,-23.5084,0.0160,2.9840,0.0440,12.0173,0.0161,-23.7441,0.0161,-23.6020,0.0215,-0.1421,-23.6020,0.0215
NGC_6195,NGC6195,A2199/7,249.1357,39.0279,0.0320,Sb,0.8070,2.8216,0.0646,140.5000,31.0240,0.3160,10.1445,0.0112,-25.5939,0.0112,-25.5920,0.0112,-0.0018,-25.9443,0.0370,17.6490,0.2060,10.1334,0.0128,-25.6050,0.0128,-25.6026,0.0128,-0.0024,-26.0897,0.0504
2MASXJ16375321+3914593,UGC10485,A2199/7,249.4717,39.2498,0.0310,Sb,0.3770,2.6590,0.0090,136.0400,7.8510,0.0890,11.6339,0.0125,-24.0345,0.0125,-24.0175,0.0126,-0.0170,-24.2264,0.0244,4.6110,0.0590,11.5878,0.0140,-24.0805,0.0140,-24.0463,0.0144,-0.0342,-24.3316,0.0320
2MASXJ16380902+3955039,UGC10488,A2199/7,249.5376,39.9178,0.0294,Sa,0.5150,2.7540,0.0090,129.0200,17.9850,0.2020,10.7305,0.0124,-24.8227,0.0124,-24.8201,0.0124,-0.0026,-25.5323,0.0723,9.7630,0.1140,10.7837,0.0128,-24.7696,0.0128,-24.7619,0.0129,-0.0076,-25.5983,0.0846
2MASXJ16470252+4008384,UGC10550,A2199/7,251.7605,40.1440,0.0234,Sc,0.2550,2.5050,0.0100,102.0000,6.6980,0.0790,11.7474,0.0130,-23.2956,0.0130,-23.1173,0.0220,-0.1783,-23.1173,0.0220,4.0920,0.0690,11.6449,0.0184,-23.3981,0.0184,-23.1640,0.0298,-0.2341,-23.1640,0.0298
2MASXJ17485857-6315162,IC4664,PavoII,267.2441,-63.2545,0.0109,Sc,0.7350,2.5670,0.0620,47.1400,50.9870,0.5730,9.4938,0.0124,-23.8732,0.0124,-23.8502,0.0126,-0.0230,-23.8502,0.0126,31.8940,0.3830,9.3669,0.0132,-24.0001,0.0132,-23.9684,0.0136,-0.0317,-23.9684,0.0136
2MASXJ17493215-6229580,ESO139-G030,PavoII,267.3828,-62.4995,0.0130,Sc,0.3850,2.2680,0.0290,56.1500,4.2270,0.3940,12.2026,0.1012,-21.5442,0.1012,-21.0083,0.1145,-0.5358,-21.0083,0.1145,2.7430,0.1530,12.0353,0.0606,-21.7115,0.0606,-21.2338,0.0772,-0.4777,-21.2338,0.0772
2MASXJ17591042-6756171,ESO071-G001,PavoII,269.7935,-67.9381,0.0180,Sc,0.3110,2.4080,0.0250,78.1000,7.0500,0.1090,11.6654,0.0169,-22.7978,0.0169,-22.6461,0.0227,-0.1518,-22.6461,0.0227,4.2540,0.0910,11.5775,0.0233,-22.8858,0.0233,-22.7271,0.0282,-0.1586,-22.7271,0.0282
2MASXJ17592447-6327281,ESO102-GA019,PavoII,269.8514,-63.4580,0.0141,Sc,0.2750,2.3810,0.0290,60.9500,6.2100,0.1010,11.7912,0.0178,-22.1337,0.0178,-21.9339,0.0267,-0.1998,-21.9339,0.0267,3.7180,0.0850,11.7101,0.0249,-22.2147,0.0249,-22.0163,0.0318,-0.1984,-22.0163,0.0318
